goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
18,1987,0,68,3,68,50,4,22,0,51,1,174,169,20
39,1983,0,375,3,64,110,9,146,2,101,8,173,586,29
4,1992,0,64,2,73,14,9,18,0,12,0,171,90,11
3,1987,0,52,3,74,33,10,26,0,45,2,179,130,65
0,1983,0,31,3,77,21,5,8,1,34,0,182,86,60
0,1985,0,22,3,85,25,5,2,0,21,0,196,68,66
36,1989,0,57,2,82,28,2,21,1,60,2,187,145,33
23,1984,0,161,0,75,67,1,23,1,74,0,187,302,43
8,1984,0,110,2,73,76,0,44,1,112,1,174,298,28
0,1991,0,29,2,84,18,5,2,0,15,0,189,62,69
22,1982,0,105,1,85,72,11,29,0,92,0,184,269,82
37,1988,0,89,2,79,42,0,34,2,65,0,182,196,69
7,1985,0,100,1,79,87,1,26,3,100,0,184,287,49
26,1990,1,50,2,77,25,7,13,0,56,1,179,131,85
7,1988,0,141,2,76,69,9,40,1,74,0,186,284,11
81,1989,1,106,0,76,47,2,10,1,63,0,188,216,21
60,1978,0,266,2,95,88,1,42,4,123,1,197,477,12
23,1989,0,89,1,74,54,9,15,0,73,0,181,216,92
8,1989,0,73,2,75,41,4,37,1,69,0,184,183,2
8,1991,0,16,1,77,13,2,8,0,19,1,181,48,5
5,1990,1,65,0,74,34,6,22,2,46,1,173,145,79
51,1990,1,115,0,73,38,2,12,0,56,0,185,209,47
5,1991,0,36,0,76,25,1,5,0,35,1,187,96,17
19,1983,0,183,2,87,65,1,58,2,70,3,188,318,12
9,1983,0,89,3,80,63,4,24,1,80,3,183,232,41
190,1984,1,177,0,73,118,2,16,0,171,0,180,466,8
27,1984,0,246,0,83,67,3,30,1,75,3,183,388,47
14,1987,0,83,0,83,34,0,30,1,31,0,180,148,27
15,1986,0,129,3,85,52,1,52,2,74,1,187,255,35
27,1992,1,155,2,75,38,6,11,0,65,0,180,258,12
47,1982,0,111,1,72,55,2,8,0,97,0,181,263,36
1,1982,0,60,3,82,45,5,17,1,52,0,189,157,60
7,1978,0,81,1,71,84,9,41,0,111,0,177,276,84
28,1990,1,61,0,70,46,10,16,0,90,0,173,197,58
28,1984,0,105,0,66,73,4,37,0,86,0,180,264,90
17,1987,0,183,0,73,47,1,70,0,61,0,185,291,21
12,1980,0,129,3,82,73,1,74,2,74,5,188,276,41
7,1980,0,181,1,77,97,1,41,1,112,1,199,390,42
3,1979,0,71,1,69,55,6,18,1,98,0,175,224,32
82,1986,0,275,0,67,77,0,44,2,98,1,170,450,46
0,1985,0,43,0,84,21,5,4,0,44,0,191,108,34
281,1981,0,340,3,69,107,2,62,5,107,2,175,554,29
0,1981,1,78,2,88,51,5,7,1,82,0,194,211,11
1,1991,0,80,0,77,38,6,13,0,53,0,187,171,51
23,1983,1,62,2,74,21,8,14,1,29,0,182,112,28
0,1990,0,136,0,82,46,5,6,0,66,0,190,248,47
6,1985,0,58,3,82,45,6,34,0,71,0,182,174,65
63,1978,0,140,3,68,97,0,81,3,134,1,175,371,20
27,1989,0,83,3,76,53,11,38,1,70,0,180,206,9
4,1991,0,18,0,72,15,3,7,0,25,1,178,58,80
20,1982,0,151,0,80,89,0,77,0,161,3,183,401,78
12,1989,0,110,1,84,49,1,39,2,54,5,188,213,55
98,1985,1,114,0,82,60,2,15,1,71,0,190,245,51
9,1994,0,24,0,76,7,3,6,0,15,0,181,46,46
